name,ring,quadrant,status,isnew,description
AsciiDoc,languages & frameworks,hold,moved out,FALSE,
Markdown,languages & frameworks,adopt,no change,FALSE,
Bootstrap,languages & frameworks,hold,moved out,FALSE,
Elixir,languages & frameworks,hold,moved out,FALSE,
Laravel,languages & frameworks,hold,no change,FALSE,
Node.js,languages & frameworks,adopt,no change,FALSE,A JavaScript runtime built on Chrome's V8 JavaScript engine.
OpenAPI / RAML / Swagger,languages & frameworks,adopt,no change,FALSE,"Frameworks for creating, documenting, and consuming REST APIs."
PHP,languages & frameworks,adopt,no change,FALSE,A popular general-purpose scripting language that is especially suited to web development.
Python,languages & frameworks,assess,moved in,FALSE,"An interpreted, high-level and general-purpose programming language."
Symfony,languages & frameworks,adopt,no change,FALSE,
Yii,languages & frameworks,hold,moved out,FALSE,
Bash,languages&frameworks,adopt,no change,FALSE,A Unix shell and command language.
Golang,languages&frameworks,adopt,no change,FALSE,"An open-source programming language that makes it easy to build simple, reliable, and efficient software."
gRPC,languages&frameworks,trial,no change,FALSE,"A high-performance, open-source universal RPC framework."
Javascript,languages&frameworks,hold,no change,FALSE,"A high-level, just-in-time compiled, multi-paradigm programming language."
Lua,languages&frameworks,hold,no change,FALSE,"A lightweight, high-level, multi-paradigm programming language designed primarily for embedded use in applications."
TypeScript,languages&frameworks,adopt,no change,FALSE,A typed superset of JavaScript that compiles to plain JavaScript.
Airflow,platforms & infrastructure,assess,new,TRUE,"An open-source platform to programmatically author, schedule, and monitor workflows."
ArgoCD,platforms & infrastructure,adopt,new,TRUE,"A declarative, GitOps continuous delivery tool for Kubernetes."
AWS,platforms & infrastructure,adopt,no change,FALSE,Amazon Web Services – a comprehensive and widely adopted cloud platform.
AWS Organization,platforms & infrastructure,trial,new,TRUE,A management account service for consolidating AWS accounts for billing and access purposes.
Clickhouse,platforms & infrastructure,adopt,moved in,FALSE,A fast open-source columnar database for OLAP.
Cloudflare,platforms & infrastructure,adopt,no change,FALSE,"A global network designed to make everything you connect to the Internet secure, private, fast, and reliable."
